"Atmosferaga chiqarilgan ifloslantiruvchi moddalar/Выброшено в атмосферу загрязняющих веществ/Emitted into the atmosphere of pollutants ",,,,,,,,,,,,,,,,
"ming tonna/тыс. тонн/thousand tons",,,,,,,,,,,,,,,,
Hududlar,Ҳудудлар,Регионы,Territories,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
"O‘zbekiston Respublikasi","Ўзбекистон Республикаси","Республика Узбекистан","Republic of Uzbekistan",788.2,817.6,855.2,1162.1,975.1,1008.2,853.5,883.7,952.8,924.4,908.7,874,
"Qoraqalpog‘iston Respublikasi","Қорақалпоғистон Республикаси","Республика Каракалпакстан","Republic of Karakalpakstan",23.5,19.5,25.8,26.7,32.8,30.6,37.7,34,37.2,28.9,31.4,21,
Andijon,Андижон,"Андижанская ",Andijan,13.6,12.2,14.4,6.6,18.5,36.7,15.8,15.9,14.3,11.5,4.9,17,
Buxoro,Бухоро,"Бухарская ",Bukhara,71.7,61.7,50.7,51.9,55.6,58.5,63.8,74.8,69.1,37.1,44.7,36,
Jizzax,Жиззах,Джизакская,Jizzakh,17.3,14.1,17.2,37.2,70.2,63.4,5.2,11.8,4.3,3.4,2.9,27,
Qashqadaryo,Қашқадарё,"Кашкадарьинская ",Kashkadarya,142.5,163,167,171.8,176.3,167.9,165.7,152.2,140.4,128.1,132.3,116,
Navoiy,Навоий,"Навоийская ",Navoi,45.2,42.4,43.9,42.6,47,57.4,44.1,49.9,43.6,48.4,68.6,42,
Namangan,Наманган,"Наманганская ",Namangan,5.6,7,3.7,3.9,7.8,15.8,15.9,15.2,15.8,15,23.9,7,
Samarqand,Самарқанд,"Самаркандская ",Samarkand,51.8,52.8,49.1,51.3,54.7,51.6,37.2,52.1,44.2,52.7,39.4,39,
Surxondaryo,Сурхондарё,"Сурхандарьинская ",Surkhandarya,3.3,4.4,3.7,5.8,3.1,3.2,3.2,5.1,6.9,6.5,7.1,7,
Sirdaryo,Сирдарё,"Сырдарьинская ",Syrdarya,58.7,46.9,35.4,69.3,66.1,68.9,59.6,60.5,47.8,71.8,45.7,49,
Toshkent,Тошкент,"Ташкентская ",Tashkent,280.3,290.4,372.3,619.2,370.6,318.7,302.9,336.6,397.9,430,425.5,438,
Farg‘ona,Фарғона,"Ферганская ",Fergana,42.8,73.5,40.2,38.4,38.9,103.2,60.1,53.2,49.6,50.5,46.5,49
Xorazm,Хоразм,"Хорезмская ",Khorezm,4.9,4.9,6.2,6.3,5,5.2,9.2,7.1,7.2,6.8,7.2,5
"Toshkent sh.","Тошкент ш.",г.Ташкент,"Tashkent city",27,24.8,25.6,31.1,28.5,27.1,33.1,15.3,74.5,33.7,28.6,21
