"Doimiy aholi soni-Shahar/Численность постоянного населения-Город/Permanent population-Urban",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(yil boshiga; ming kishi)/(на начало года; тысяч человек)/(at the beginning of the year, thousand people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hududlar,Ҳудудлар,Регионы,Regions,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,
"O`zbekiston Respublikasi","Ўзбекистон Республикаси","Республика Узбекистан","Republic of Uzbekistan",9165.5,9225.3,9286.9,9340.7,9381.3,9441.9,9495.1,9584.6,9698.2,14236,14425.9,14897.4,15143.2,15370.1,15555.2,15748,15963.9,16250.8,16532.7,16806.7,17144.1,17510.4,17935.8,18370.9,,
"Qoraqalpog`iston Respublikasi","Қорақалпоғистон Республикаси","Республика Каракалпакстан","Republic of Karakalpakstan",724.2,738.4,753.7,760.1,760.6,764.9,763.9,767.5,774.5,814.6,820.3,837,839.6,850.5,862,873,883.2,894.7,905.5,917.7,930.5,942,954.2,967.3,,
Andijon,Андижон,Андижанская,Andijan,657.5,665.6,673.4,680.6,687.1,693.7,699.8,707.2,716.9,1338.9,1358.4,1420.1,1436.5,1453.9,1476.3,1500,1521.3,1551.7,1576,1603.7,1633.9,1665.9,1699.2,1734.5,,
Buxoro,Бухоро,Бухарская,Bukhara,440.7,442.6,444.2,445.4,446.4,448.2,450.1,453.2,456.8,616.8,622.4,644.3,648.6,667.1,672.9,678.4,685,692,698.6,701.4,709.5,715.4,725.9,740.5,,
Jizzax,Жиззах,Джизакская,Jizzakh,294.7,298.2,301.8,304.2,308.6,313,314.5,317.5,321.2,520.7,526.8,560.6,567.2,574.1,581.4,589.6,600.8,611.8,622.2,634.5,648,660,677,692,,
Qashqadaryo,Қашқадарё,Кашкадарьинская,Kashkadarya,551.3,559.1,566,572.5,579.7,589,597.5,606.7,616.5,1116.8,1135.7,1181.2,1203.2,1225.3,1250.8,1274.5,1300.7,1326.3,1357.5,1383.6,1410.4,1432.8,1460,1491.6,,
Navoiy,Навоий,Навоийская,Navoi,316.7,319.1,319.4,319,319.8,321.6,321.4,324.8,327.8,416.7,420.9,429.2,429,445.2,448.2,448.5,455.1,460.9,467.6,478.1,487.7,497,505.5,517.1,,
Namangan,Наманган,Наманганская,Namangan,722.6,731.8,743.8,755.3,765.2,773.6,782.4,792.3,806.3,1434.1,1458.8,1529.7,1551,1570.1,1593.2,1618.8,1641.9,1716.6,1743.7,1777.6,1815.1,1857.5,1899.5,1943.9,,
Samarqand,Самарқанд,Самаркандская,Samarkand,724.1,727.6,729.8,731.6,732.6,737.1,741.4,747.6,755,1145.8,1160.4,1202.6,1301.2,1312.7,1324.8,1337,1355.3,1372.8,1390.8,1414.7,1438.3,1458.7,1483.2,1513,,
Surxondaryo,Сурхондарё,Сурхандарьинская,Surkhandarya,344.8,349.3,353.5,357.8,361.3,365.6,370.4,376.3,381.3,756.2,767.9,794.7,807.9,819.2,831.5,845.2,861.1,877.6,893.3,910.6,954,971.2,993.3,1016.8,,
Sirdaryo,Сирдарё,Сырдарьинская,Syrdarya,206.1,207.9,208.9,209.5,209.7,210.2,211.5,213.3,215.8,290.7,294.7,300.7,305.7,325.1,332.2,336.6,341.4,345.9,350,354.8,361.3,366.7,374.3,386.4,,
Toshkent,Тошкент,Ташкентская,Tashkent,949.7,950.4,953,956.6,960.6,965.9,969.8,979,990.8,1278.3,1293.2,1308.3,1319.6,1328.6,1338.5,1350.2,1364.9,1381.1,1411.5,1427.5,1446.7,1469.9,1476.5,1499.5,,
Farg`ona,Фарғона,Ферганская,Fergana,776.1,780.8,785.2,790.2,795,802.3,809.5,817.5,827.2,1776.2,1802.5,1852.4,1879,1908.7,1937,1965.9,1994.4,2022.8,2049.9,2082.5,2117.7,2152.1,2188.7,2264.1,,
Xorazm,Хоразм,Хорезмская,Khorezm,314.7,316.6,317.6,318.7,319.3,321.1,322.3,324.6,328.1,523.9,529.6,540.1,545.4,548.7,553.5,559,565.6,572.5,601.2,610.1,619.3,626.8,636.1,647.8,,
"Toshkent sh.","Тошкент ш.",г.Ташкент,г.Ташкент,2142.3,2137.9,2136.6,2139.2,2135.4,2135.7,2140.6,2157.1,2180,2206.3,2234.3,2296.5,2309.3,2340.9,2352.9,2371.3,2393.2,2424.1,2464.9,2509.9,2571.7,2694.4,2862.4,2956.4,,
